-4.4345,8.3944,4.7010,5.7908,-2.4242
1.8969,-2.1396,-0.9510,3.1600,-9.3589
-5.0693,-3.5019,8.2114,-5.4413,-3.6640
-1.8790,0.2548,-0.0341,6.1212,6.3715
-3.2772,-3.3414,-9.0436,2.5046,5.1370
-5.1469,1.1481,-10.0338,-9.4727,-8.9595
0.0213,-7.4970,-4.9633,5.3782,-3.6193
3.2597,-0.8156,-0.0800,3.0826,-7.1378
-7.0524,-1.4431,-8.3811,-3.7898,8.5694
-4.8186,-1.7584,-9.5550,-4.4784,10.1399
-4.9201,1.7741,-7.1313,-9.2035,-9.3266
-8.2942,-1.6240,3.5786,-0.7950,-8.4199
-2.4031,-6.0882,-2.9053,5.8615,1.2529
-0.9456,1.7406,0.2139,7.4469,4.6814
3.1568,-0.0361,-0.3399,3.7699,-8.0352
4.1560,-1.5292,-1.3855,4.0149,-7.8602
-8.6642,-2.6406,-2.8398,3.5962,0.8729
-5.8380,8.2574,5.9596,10.5361,-6.4272
-2.3636,7.5721,5.8609,3.7734,-0.9028
-2.5029,7.1438,6.8035,4.8053,0.9333
-0.4843,1.1358,0.1693,4.9597,5.9703
-3.9347,7.7393,5.0339,2.8389,-1.5923
-4.6645,-3.9770,-1.4348,7.4376,2.6189
-7.9097,-2.8732,-9.5085,-2.6284,8.8203
-8.7995,-3.6152,3.6829,-2.6080,-9.5354
-2.1797,4.8707,7.0508,4.8563,-0.4836
-4.5864,-0.3369,-8.5358,-4.6646,8.1642
-3.8902,9.6790,6.4725,8.3301,-5.5397
-4.2949,-3.5625,-9.6466,0.6898,4.7633
-4.6135,-1.8532,9.3456,-7.4966,-4.5817
-7.2737,-2.4581,-7.6896,-5.7475,8.1141
-5.7609,-2.9336,9.5279,-6.0612,-4.6990
-0.1210,-7.4305,-5.2712,5.8322,-1.5631
6.4263,-3.2165,-8.8607,-6.7543,-0.8903
-5.6505,-2.6545,-8.9825,-5.5361,8.4163
-9.5569,-3.0533,-1.9376,1.4698,0.5043
-2.9548,0.1836,-1.2255,8.1598,6.6506
3.6816,-2.3598,-1.3224,0.6232,-7.8799
-4.3550,-3.8235,9.7316,-5.5778,-4.4261
6.5574,-6.0111,-7.7254,-7.5073,0.6080
-4.3962,-3.6681,-9.2902,2.8376,5.7428
-1.9359,-6.3512,-6.9124,4.4037,-2.5360
-9.0355,-1.7379,5.1548,-1.3012,-9.2371
-10.6581,-2.6673,-1.2047,3.8182,2.8176
-3.1138,-4.2654,-2.0848,6.5268,-0.2522
-8.1162,8.9691,-10.7018,-8.1401,0.5140
-7.2252,7.8830,-10.4724,-9.8774,0.5742
-8.8286,-3.7072,-0.7364,4.1149,0.4965
-8.1736,-3.4630,4.2708,-1.3504,-9.5831
7.1108,-5.7700,-8.0092,-6.9140,0.7721
-4.4730,-0.0324,-9.3538,-8.7654,-8.8744
-5.0123,-5.1848,-0.8687,6.7267,-0.8003
-6.3597,-0.1346,-7.5899,-4.4537,9.0110
-6.2052,-0.5771,-8.5818,-3.2985,10.5228
-7.5357,9.6555,-10.0260,-8.9380,-0.1025
-5.3570,-1.9412,-6.7010,-5.5949,9.2927
-1.7344,1.6785,-0.6923,7.5472,5.0112
-3.2971,-3.5617,8.4498,-5.5846,-4.2690
-1.0010,0.2560,1.1184,6.2909,6.4795
